array_type,size,algorithm,threshold,time_ms
reversed,4400,hybrid,5,2106
almost_sorted,4400,hybrid,5,1852
random,4400,hybrid,10,1684
reversed,4400,hybrid,10,1369
almost_sorted,4400,hybrid,10,1392
random,4400,hybrid,20,1506
reversed,4400,hybrid,20,1096
almost_sorted,4400,hybrid,20,939
random,4400,hybrid,30,1581
reversed,4400,hybrid,30,1128
almost_sorted,4400,hybrid,30,1045
random,4400,hybrid,50,1467
reversed,4400,hybrid,50,1207
almost_sorted,4400,hybrid,50,734
random,4500,standard,0,6205
reversed,4500,standard,0,5827
almost_sorted,4500,standard,0,5618
random,4500,hybrid,5,2424
reversed,4500,hybrid,5,1905
almost_sorted,4500,hybrid,5,1882
random,4500,hybrid,10,1965
reversed,4500,hybrid,10,1370
almost_sorted,4500,hybrid,10,1296
random,4500,hybrid,20,1464
reversed,4500,hybrid,20,1140
almost_sorted,4500,hybrid,20,960
random,4500,hybrid,30,1459
reversed,4500,hybrid,30,1133
almost_sorted,4500,hybrid,30,985
random,4500,hybrid,50,1425
reversed,4500,hybrid,50,1251
almost_sorted,4500,hybrid,50,759
random,4600,standard,0,6018
reversed,4600,standard,0,5704
almost_sorted,4600,standard,0,5634
random,4600,hybrid,5,2318
reversed,4600,hybrid,5,1953
almost_sorted,4600,hybrid,5,1895
random,4600,hybrid,10,1742
reversed,4600,hybrid,10,1370
almost_sorted,4600,hybrid,10,1328
random,4600,hybrid,20,2892
reversed,4600,hybrid,20,1160
almost_sorted,4600,hybrid,20,971
random,4600,hybrid,30,1480
reversed,4600,hybrid,30,1154
almost_sorted,4600,hybrid,30,972
random,4600,hybrid,50,1463
reversed,4600,hybrid,50,1297
almost_sorted,4600,hybrid,50,762
random,4700,standard,0,6199
reversed,4700,standard,0,5781
almost_sorted,4700,standard,0,5778
random,4700,hybrid,5,2583
reversed,4700,hybrid,5,1979
almost_sorted,4700,hybrid,5,1921
random,4700,hybrid,10,1785
reversed,4700,hybrid,10,1407
almost_sorted,4700,hybrid,10,1334
random,4700,hybrid,20,2080
reversed,4700,hybrid,20,1182
almost_sorted,4700,hybrid,20,1098
random,4700,hybrid,30,1524
reversed,4700,hybrid,30,1186
almost_sorted,4700,hybrid,30,992
random,4700,hybrid,50,1516
reversed,4700,hybrid,50,1638
almost_sorted,4700,hybrid,50,920
random,4800,standard,0,6372
reversed,4800,standard,0,5940
almost_sorted,4800,standard,0,6714
random,4800,hybrid,5,3471
reversed,4800,hybrid,5,3732
almost_sorted,4800,hybrid,5,3025
random,4800,hybrid,10,1870
reversed,4800,hybrid,10,1660
almost_sorted,4800,hybrid,10,2281
random,4800,hybrid,20,2346
reversed,4800,hybrid,20,1723
almost_sorted,4800,hybrid,20,1572
random,4800,hybrid,30,1610
reversed,4800,hybrid,30,1269
almost_sorted,4800,hybrid,30,1020
random,4800,hybrid,50,2060
reversed,4800,hybrid,50,1529
almost_sorted,4800,hybrid,50,921
random,4900,standard,0,6689
reversed,4900,standard,0,6113
almost_sorted,4900,standard,0,5936
random,4900,hybrid,5,2413
reversed,4900,hybrid,5,2045
almost_sorted,4900,hybrid,5,2408
random,4900,hybrid,10,1842
reversed,4900,hybrid,10,1444
almost_sorted,4900,hybrid,10,1363
random,4900,hybrid,20,1580
reversed,4900,hybrid,20,1233
almost_sorted,4900,hybrid,20,1031
random,4900,hybrid,30,1884
reversed,4900,hybrid,30,1843
almost_sorted,4900,hybrid,30,1085
random,4900,hybrid,50,1576
reversed,4900,hybrid,50,1481
almost_sorted,4900,hybrid,50,800
random,5000,standard,0,6623
reversed,5000,standard,0,6330
almost_sorted,5000,standard,0,6389
random,5000,hybrid,5,2485
reversed,5000,hybrid,5,4505
almost_sorted,5000,hybrid,5,4039
random,5000,hybrid,10,2634
reversed,5000,hybrid,10,1476
almost_sorted,5000,hybrid,10,1371
random,5000,hybrid,20,1637
reversed,5000,hybrid,20,1270
almost_sorted,5000,hybrid,20,1069
random,5000,hybrid,30,2116
reversed,5000,hybrid,30,1193
almost_sorted,5000,hybrid,30,1123
random,5000,hybrid,50,1597
reversed,5000,hybrid,50,1425
almost_sorted,5000,hybrid,50,775
random,5100,standard,0,9556
reversed,5100,standard,0,9582
almost_sorted,5100,standard,0,7239
random,5100,hybrid,5,2932
reversed,5100,hybrid,5,2095
almost_sorted,5100,hybrid,5,2098
random,5100,hybrid,10,2321
reversed,5100,hybrid,10,1445
almost_sorted,5100,hybrid,10,1741
random,5100,hybrid,20,1687
reversed,5100,hybrid,20,1290
almost_sorted,5100,hybrid,20,1017
random,5100,hybrid,30,1625
